Size: 102400, TotalTime: 0.08049464225769043, EncodingTime: 0.027875185012817383
Size: 102400, TotalTime: 0.06816267967224121, EncodingTime: 0.03388690948486328
Size: 102400, TotalTime: 0.14980578422546387, EncodingTime: 0.030396699905395508
Size: 102400, TotalTime: 0.09324383735656738, EncodingTime: 0.036397695541381836
Size: 102400, TotalTime: 0.09282279014587402, EncodingTime: 0.03670001029968262
Size: 102400, TotalTime: 0.08413100242614746, EncodingTime: 0.034571170806884766
Size: 102400, TotalTime: 0.08298516273498535, EncodingTime: 0.02832484245300293
Size: 102400, TotalTime: 0.09128999710083008, EncodingTime: 0.03437185287475586
Size: 102400, TotalTime: 0.08583569526672363, EncodingTime: 0.033846139907836914
Size: 102400, TotalTime: 0.07884907722473145, EncodingTime: 0.034598350524902344
Size: 102400, TotalTime: 0.07445526123046875, EncodingTime: 0.02276325225830078
Size: 102400, TotalTime: 0.07704377174377441, EncodingTime: 0.028879880905151367
Size: 102400, TotalTime: 0.08754920959472656, EncodingTime: 0.03376030921936035
Size: 102400, TotalTime: 0.08021402359008789, EncodingTime: 0.03587651252746582
Size: 102400, TotalTime: 0.07375407218933105, EncodingTime: 0.023689746856689453
Size: 102400, TotalTime: 0.08166909217834473, EncodingTime: 0.027889728546142578
Size: 102400, TotalTime: 0.09076642990112305, EncodingTime: 0.03615164756774902
Size: 102400, TotalTime: 0.07714605331420898, EncodingTime: 0.03391885757446289
Size: 102400, TotalTime: 0.08741188049316406, EncodingTime: 0.029751300811767578
Size: 102400, TotalTime: 0.10717988014221191, EncodingTime: 0.03602480888366699
Size: 102400, TotalTime: 0.10103988647460938, EncodingTime: 0.043074846267700195
Size: 102400, TotalTime: 0.07849001884460449, EncodingTime: 0.03757739067077637
Size: 102400, TotalTime: 0.08694267272949219, EncodingTime: 0.028311729431152344
Size: 102400, TotalTime: 0.09341907501220703, EncodingTime: 0.03580188751220703
Size: 102400, TotalTime: 0.10226154327392578, EncodingTime: 0.03825974464416504
Size: 102400, TotalTime: 0.08745145797729492, EncodingTime: 0.03342723846435547
Size: 102400, TotalTime: 0.0743703842163086, EncodingTime: 0.03003549575805664
Size: 102400, TotalTime: 0.0904841423034668, EncodingTime: 0.03508877754211426
Size: 102400, TotalTime: 0.07768607139587402, EncodingTime: 0.034047842025756836
Size: 102400, TotalTime: 0.07845473289489746, EncodingTime: 0.035112857818603516
Size: 102400, TotalTime: 0.07414937019348145, EncodingTime: 0.022264719009399414
Size: 102400, TotalTime: 0.08046650886535645, EncodingTime: 0.02718520164489746
Size: 102400, TotalTime: 0.08387231826782227, EncodingTime: 0.03419065475463867
Size: 102400, TotalTime: 0.08003497123718262, EncodingTime: 0.035283803939819336
Size: 102400, TotalTime: 0.08541655540466309, EncodingTime: 0.030472517013549805
Size: 102400, TotalTime: 0.07855033874511719, EncodingTime: 0.02676868438720703
Size: 102400, TotalTime: 0.06731557846069336, EncodingTime: 0.02720808982849121
Size: 102400, TotalTime: 0.0801398754119873, EncodingTime: 0.0345158576965332
Size: 102400, TotalTime: 0.08607220649719238, EncodingTime: 0.030698537826538086
Size: 1048576, TotalTime: 0.36551380157470703, EncodingTime: 0.1243586540222168
Size: 1048576, TotalTime: 0.45542192459106445, EncodingTime: 0.127701997756958
Size: 1048576, TotalTime: 0.29382777214050293, EncodingTime: 0.13255667686462402
Size: 1048576, TotalTime: 0.35653185844421387, EncodingTime: 0.12260007858276367
Size: 1048576, TotalTime: 0.35015296936035156, EncodingTime: 0.11771392822265625
Size: 1048576, TotalTime: 0.39273667335510254, EncodingTime: 0.1551530361175537
Size: 1048576, TotalTime: 0.3150596618652344, EncodingTime: 0.13259196281433105
Size: 1048576, TotalTime: 0.37058591842651367, EncodingTime: 0.1256546974182129
Size: 1048576, TotalTime: 0.3671536445617676, EncodingTime: 0.11778855323791504
Size: 1048576, TotalTime: 0.37035560607910156, EncodingTime: 0.12274789810180664
Size: 1048576, TotalTime: 0.29325342178344727, EncodingTime: 0.13442754745483398
Size: 1048576, TotalTime: 0.3484625816345215, EncodingTime: 0.11852169036865234
Size: 1048576, TotalTime: 0.35991430282592773, EncodingTime: 0.12082862854003906
Size: 1048576, TotalTime: 0.36916112899780273, EncodingTime: 0.12771081924438477
Size: 1048576, TotalTime: 0.30767035484313965, EncodingTime: 0.14405584335327148
Size: 1048576, TotalTime: 0.36278462409973145, EncodingTime: 0.11833333969116211
Size: 1048576, TotalTime: 0.36853837966918945, EncodingTime: 0.12025213241577148
Size: 1048576, TotalTime: 0.3591439723968506, EncodingTime: 0.12091279029846191
Size: 1048576, TotalTime: 0.30678296089172363, EncodingTime: 0.13924121856689453
Size: 1048576, TotalTime: 0.3569033145904541, EncodingTime: 0.11803603172302246
Size: 1048576, TotalTime: 0.35218286514282227, EncodingTime: 0.11637639999389648
Size: 1048576, TotalTime: 0.34974169731140137, EncodingTime: 0.11822152137756348
Size: 1048576, TotalTime: 0.28909826278686523, EncodingTime: 0.13333940505981445
Size: 1048576, TotalTime: 0.36260437965393066, EncodingTime: 0.11753106117248535
Size: 1048576, TotalTime: 0.37408018112182617, EncodingTime: 0.1199042797088623
Size: 1048576, TotalTime: 0.3790600299835205, EncodingTime: 0.12478256225585938
Size: 1048576, TotalTime: 0.28388118743896484, EncodingTime: 0.13051557540893555
Size: 1048576, TotalTime: 0.36652112007141113, EncodingTime: 0.12410259246826172
Size: 1048576, TotalTime: 0.34993672370910645, EncodingTime: 0.11486053466796875
Size: 1048576, TotalTime: 0.36380767822265625, EncodingTime: 0.11871123313903809
Size: 1048576, TotalTime: 0.28598475456237793, EncodingTime: 0.12979507446289062
Size: 1048576, TotalTime: 0.3627805709838867, EncodingTime: 0.11788582801818848
Size: 1048576, TotalTime: 0.36414098739624023, EncodingTime: 0.11554193496704102
Size: 1048576, TotalTime: 0.3612692356109619, EncodingTime: 0.1237039566040039
Size: 1048576, TotalTime: 0.2953948974609375, EncodingTime: 0.13434958457946777
Size: 1048576, TotalTime: 0.35736727714538574, EncodingTime: 0.11958599090576172
Size: 1048576, TotalTime: 0.3700428009033203, EncodingTime: 0.1214451789855957
Size: 1048576, TotalTime: 0.3695414066314697, EncodingTime: 0.12668919563293457
Size: 1048576, TotalTime: 0.3005805015563965, EncodingTime: 0.13394546508789062
Size: 1048576, TotalTime: 0.36539602279663086, EncodingTime: 0.11775946617126465
Size: 1048576, TotalTime: 0.36371850967407227, EncodingTime: 0.11691546440124512
Size: 1048576, TotalTime: 0.3570570945739746, EncodingTime: 0.12005400657653809
Size: 1048576, TotalTime: 0.29107117652893066, EncodingTime: 0.13082027435302734
Size: 1048576, TotalTime: 0.354442834854126, EncodingTime: 0.1169891357421875
Size: 1048576, TotalTime: 0.36473941802978516, EncodingTime: 0.11677336692810059
Size: 1048576, TotalTime: 1.931755781173706, EncodingTime: 1.6845684051513672
Size: 1048576, TotalTime: 0.29090380668640137, EncodingTime: 0.13292360305786133
Size: 1048576, TotalTime: 0.3645749092102051, EncodingTime: 0.11937570571899414
Size: 1048576, TotalTime: 0.36440086364746094, EncodingTime: 0.11591887474060059
Size: 1048576, TotalTime: 0.35672855377197266, EncodingTime: 0.12012696266174316
Size: 1048576, TotalTime: 0.2913703918457031, EncodingTime: 0.13438892364501953
Size: 1048576, TotalTime: 0.36501479148864746, EncodingTime: 0.12125706672668457
Size: 1048576, TotalTime: 1.4141852855682373, EncodingTime: 0.45049166679382324
Size: 1048576, TotalTime: 0.3532707691192627, EncodingTime: 0.12052798271179199
Size: 1048576, TotalTime: 0.2833104133605957, EncodingTime: 0.12990736961364746
Size: 1048576, TotalTime: 0.36362695693969727, EncodingTime: 0.11701393127441406
Size: 1048576, TotalTime: 0.3597137928009033, EncodingTime: 0.11560606956481934
Size: 1048576, TotalTime: 0.3635404109954834, EncodingTime: 0.11992549896240234
Size: 1048576, TotalTime: 0.5915012359619141, EncodingTime: 0.3226664066314697
Size: 1048576, TotalTime: 0.35942530632019043, EncodingTime: 0.11808300018310547
Size: 1048576, TotalTime: 0.36498403549194336, EncodingTime: 0.11648726463317871
Size: 1048576, TotalTime: 0.3709299564361572, EncodingTime: 0.12093257904052734
Size: 1048576, TotalTime: 0.2738504409790039, EncodingTime: 0.13059639930725098
Size: 1048576, TotalTime: 0.3541831970214844, EncodingTime: 0.11812138557434082
Size: 1048576, TotalTime: 0.3607814311981201, EncodingTime: 0.11545705795288086
Size: 1048576, TotalTime: 0.35765600204467773, EncodingTime: 0.12109017372131348
Size: 1048576, TotalTime: 0.28289055824279785, EncodingTime: 0.13275790214538574
Size: 1048576, TotalTime: 0.36479783058166504, EncodingTime: 0.11814188957214355
Size: 1048576, TotalTime: 0.369340181350708, EncodingTime: 0.11602210998535156
Size: 1048576, TotalTime: 0.36325716972351074, EncodingTime: 0.12001895904541016
Size: 1048576, TotalTime: 0.28754663467407227, EncodingTime: 0.13008356094360352
Size: 1048576, TotalTime: 0.36168503761291504, EncodingTime: 0.11725378036499023
Size: 1048576, TotalTime: 0.35563063621520996, EncodingTime: 0.1158609390258789
Size: 1048576, TotalTime: 0.3646712303161621, EncodingTime: 0.12025165557861328
Size: 1048576, TotalTime: 0.2835876941680908, EncodingTime: 0.1343832015991211
Size: 1048576, TotalTime: 0.3610057830810547, EncodingTime: 0.11669588088989258
Size: 1048576, TotalTime: 0.36798620223999023, EncodingTime: 0.12043023109436035
Size: 1048576, TotalTime: 0.3648569583892822, EncodingTime: 0.12250638008117676
Size: 1048576, TotalTime: 0.2906208038330078, EncodingTime: 0.1344609260559082
Size: 1048576, TotalTime: 0.36423587799072266, EncodingTime: 0.11796975135803223
Size: 1048576, TotalTime: 0.36329030990600586, EncodingTime: 0.11480855941772461
Size: 1048576, TotalTime: 0.3579108715057373, EncodingTime: 0.12144684791564941
Size: 1048576, TotalTime: 0.2957277297973633, EncodingTime: 0.13518762588500977
Size: 1048576, TotalTime: 0.3589606285095215, EncodingTime: 0.11855292320251465
Size: 1048576, TotalTime: 0.44904136657714844, EncodingTime: 0.18260645866394043
Size: 1048576, TotalTime: 0.3671228885650635, EncodingTime: 0.12553620338439941
Size: 1048576, TotalTime: 0.28542184829711914, EncodingTime: 0.1321887969970703
Size: 1048576, TotalTime: 0.35935544967651367, EncodingTime: 0.11693072319030762
Size: 1048576, TotalTime: 0.36102819442749023, EncodingTime: 0.11762762069702148
Size: 1048576, TotalTime: 0.3820617198944092, EncodingTime: 0.1212320327758789
Size: 1048576, TotalTime: 0.2865755558013916, EncodingTime: 0.13199090957641602
Size: 1048576, TotalTime: 0.35587215423583984, EncodingTime: 0.11725330352783203
Size: 1048576, TotalTime: 0.36162495613098145, EncodingTime: 0.11563301086425781
Size: 1048576, TotalTime: 0.36060023307800293, EncodingTime: 0.12089920043945312
Size: 1048576, TotalTime: 0.2830393314361572, EncodingTime: 0.1371455192565918
Size: 1048576, TotalTime: 0.3472926616668701, EncodingTime: 0.1178123950958252
Size: 1048576, TotalTime: 0.3585779666900635, EncodingTime: 0.11490583419799805
Size: 1048576, TotalTime: 0.37963247299194336, EncodingTime: 0.12376785278320312
Size: 1048576, TotalTime: 0.29552769660949707, EncodingTime: 0.13423824310302734
Size: 1048576, TotalTime: 0.3691563606262207, EncodingTime: 0.11796832084655762
Size: 10485760, TotalTime: 3.21187686920166, EncodingTime: 1.1010346412658691
Size: 10485760, TotalTime: 3.1983461380004883, EncodingTime: 1.122262716293335
Size: 10485760, TotalTime: 2.4810285568237305, EncodingTime: 1.2276840209960938
Size: 10485760, TotalTime: 3.17311429977417, EncodingTime: 1.1017913818359375
Size: 10485760, TotalTime: 3.2118020057678223, EncodingTime: 1.0953266620635986
Size: 10485760, TotalTime: 3.1908936500549316, EncodingTime: 1.1230111122131348
Size: 10485760, TotalTime: 2.4601328372955322, EncodingTime: 1.220282793045044
Size: 10485760, TotalTime: 3.1592559814453125, EncodingTime: 1.0919718742370605
Size: 10485760, TotalTime: 3.2361748218536377, EncodingTime: 1.0943353176116943
Size: 10485760, TotalTime: 3.1711113452911377, EncodingTime: 1.1097655296325684
Size: 10485760, TotalTime: 2.488647699356079, EncodingTime: 1.2209651470184326
Size: 10485760, TotalTime: 3.1537251472473145, EncodingTime: 1.0905914306640625
Size: 10485760, TotalTime: 3.2226011753082275, EncodingTime: 1.0986740589141846
Size: 10485760, TotalTime: 3.182856559753418, EncodingTime: 1.1171913146972656
Size: 10485760, TotalTime: 2.476233720779419, EncodingTime: 1.2356469631195068
Size: 10485760, TotalTime: 3.14988112449646, EncodingTime: 1.091881275177002
Size: 10485760, TotalTime: 3.230860471725464, EncodingTime: 1.1046171188354492
Size: 10485760, TotalTime: 3.2005064487457275, EncodingTime: 1.1218183040618896
Size: 10485760, TotalTime: 2.4569966793060303, EncodingTime: 1.221799373626709
Size: 10485760, TotalTime: 3.1906096935272217, EncodingTime: 1.1069765090942383
Size: 10485760, TotalTime: 3.7181618213653564, EncodingTime: 1.1032671928405762
Size: 10485760, TotalTime: 3.174250364303589, EncodingTime: 1.119072675704956
Size: 10485760, TotalTime: 2.45074462890625, EncodingTime: 1.2245748043060303
Size: 10485760, TotalTime: 3.1953840255737305, EncodingTime: 1.0900721549987793
Size: 10485760, TotalTime: 3.2327778339385986, EncodingTime: 1.0998480319976807
Size: 10485760, TotalTime: 3.194502592086792, EncodingTime: 1.1200368404388428
Size: 10485760, TotalTime: 2.5679943561553955, EncodingTime: 1.2284984588623047
Size: 10485760, TotalTime: 3.158151149749756, EncodingTime: 1.0994963645935059
Size: 10485760, TotalTime: 3.2186713218688965, EncodingTime: 1.0992968082427979
Size: 10485760, TotalTime: 3.549072265625, EncodingTime: 1.1286396980285645
Size: 10485760, TotalTime: 2.700028896331787, EncodingTime: 1.334634780883789
Size: 10485760, TotalTime: 3.1594104766845703, EncodingTime: 1.088024616241455
Size: 10485760, TotalTime: 3.9484283924102783, EncodingTime: 1.2390928268432617
Size: 10485760, TotalTime: 3.1800661087036133, EncodingTime: 1.114842414855957
Size: 10485760, TotalTime: 2.490889072418213, EncodingTime: 1.2211029529571533
Size: 10485760, TotalTime: 3.1789932250976562, EncodingTime: 1.109250545501709
Size: 10485760, TotalTime: 3.2289106845855713, EncodingTime: 1.0998783111572266
Size: 10485760, TotalTime: 3.1866872310638428, EncodingTime: 1.1178374290466309
Size: 10485760, TotalTime: 2.7164714336395264, EncodingTime: 1.3634095191955566
Size: 10485760, TotalTime: 3.1962571144104004, EncodingTime: 1.096118450164795
Size: 10485760, TotalTime: 3.2261929512023926, EncodingTime: 1.0968022346496582
Size: 10485760, TotalTime: 3.3660812377929688, EncodingTime: 1.247096061706543
Size: 10485760, TotalTime: 3.503023147583008, EncodingTime: 1.947263479232788
Size: 10485760, TotalTime: 3.3605618476867676, EncodingTime: 1.2721972465515137
Size: 10485760, TotalTime: 3.37888240814209, EncodingTime: 1.2274577617645264
